,Province/State,Confirmed
04/01/2020,BAJA CALIFORNIA,36
04/01/2020,BAJA CALIFORNIA SUR,16
04/01/2020,CAMPECHE,5
04/01/2020,CHIAPAS,12
04/01/2020,CHIHUAHUA,7
04/01/2020,CIUDAD DE MÉXICO,245
04/01/2020,COAHUILA,44
04/01/2020,COLIMA,2
04/01/2020,DURANGO,7
04/01/2020,GUANAJUATO,45
04/01/2020,GUERRERO,15
04/01/2020,HIDALGO,19
04/01/2020,JALISCO,91
04/01/2020,MICHOACÁN,21
04/01/2020,MORELOS,7
04/01/2020,MÉXICO,141
04/01/2020,NAYARIT,6
04/01/2020,NUEVO LEÓN,76
04/01/2020,OAXACA,14
04/01/2020,PUEBLA,82
04/01/2020,QUERETARO,29
04/01/2020,QUINTANA ROO,47
04/01/2020,SAN LUIS POTOSÍ,25
04/01/2020,SINALOA,27
04/01/2020,SONORA,17
04/01/2020,TABASCO,48
04/01/2020,TAMAULIPAS,9
04/01/2020,TLAXCALA,4
04/01/2020,VERACRUZ,27
04/01/2020,YUCATÁN,49
04/01/2020,ZACATECAS,6
04/02/2020,AGUASCALIENTES,40
04/02/2020,BAJA CALIFORNIA,38
04/02/2020,BAJA CALIFORNIA SUR,18
04/02/2020,CAMPECHE,5
04/02/2020,CHIAPAS,13
04/02/2020,CHIHUAHUA,10
04/02/2020,CIUDAD DE MÉXICO,290
04/02/2020,COAHUILA,56
04/02/2020,COLIMA,2
04/02/2020,DURANGO,7
04/02/2020,GUANAJUATO,47
04/02/2020,GUERRERO,16
04/02/2020,HIDALGO,21
04/02/2020,JALISCO,95
04/02/2020,MICHOACÁN,22
04/02/2020,MORELOS,9
04/02/2020,MÉXICO,156
04/02/2020,NAYARIT,7
04/02/2020,NUEVO LEÓN,76
04/02/2020,OAXACA,19
04/02/2020,PUEBLA,100
04/02/2020,QUERETARO,32
04/02/2020,QUINTANA ROO,50
04/02/2020,SAN LUIS POTOSÍ,30
04/02/2020,SINALOA,40
04/02/2020,SONORA,21
04/02/2020,TABASCO,57
04/02/2020,TAMAULIPAS,9
04/02/2020,TLAXCALA,5
04/02/2020,VERACRUZ,28
04/02/2020,YUCATÁN,53
04/02/2020,ZACATECAS,6
04/03/2020,AGUASCALIENTES,43
04/03/2020,BAJA CALIFORNIA,50
04/03/2020,BAJA CALIFORNIA SUR,19
04/03/2020,CAMPECHE,5
04/03/2020,CHIAPAS,15
04/03/2020,CHIHUAHUA,11
04/03/2020,CIUDAD DE MÉXICO,338
04/03/2020,COAHUILA,62
04/03/2020,COLIMA,3
04/03/2020,DURANGO,7
04/03/2020,GUANAJUATO,50
04/03/2020,GUERRERO,20
04/03/2020,HIDALGO,26
04/03/2020,JALISCO,100
04/03/2020,MICHOACÁN,24
04/03/2020,MORELOS,9
04/03/2020,MÉXICO,165
04/03/2020,NAYARIT,8
04/03/2020,NUEVO LEÓN,79
04/03/2020,OAXACA,22
04/03/2020,PUEBLA,101
04/03/2020,QUERETARO,32
04/03/2020,QUINTANA ROO,54
04/03/2020,SAN LUIS POTOSÍ,33
04/03/2020,SINALOA,43
04/03/2020,SONORA,21
04/03/2020,TABASCO,62
04/03/2020,TAMAULIPAS,14
04/03/2020,TLAXCALA,5
04/03/2020,VERACRUZ,30
04/03/2020,YUCATÁN,53
04/03/2020,ZACATECAS,6
